Entity,Year,Per capita mismanaged plastic waste,"GDP per capita, PPP (constant 2011 international $)","Total population (Gapminder, HYDE & UN)"
Indonesia,2010,0.047,8433.49735678452,241834000.0
Iran,2010,0.074,17942.8328426143,73763000.0
Iraq,2010,0.067,12717.5975271684,29742000.0
Ireland,2010,0.009,44030.4141487055,4554000.0
Israel,2010,0.008,29743.0058727916,7346000.0
Italy,2010,0.003,36201.1615672134,59325000.0
Jamaica,2010,0.01,7996.01948795873,2810000.0
Japan,2010,0.003,35749.7566788784,128542000.0
Jordan,2010,0.086,9472.76832624669,7262000.0
Kenya,2010,0.023,2476.01074216401,42031000.0
Kiribati,2010,0.088,1731.53862650466,103000.0
Kuwait,2010,0.014,75204.145116617,2992000.0
Latvia,2010,0.02,18251.9532813473,2119000.0
Lebanon,2010,0.034,16451.7598336606,4953000.0
Liberia,2010,0.072,699.653721510599,3891000.0
Libya,2010,0.036,29630.2221484622,6198000.0
Lithuania,2010,0.021,21070.6343301646,3124000.0
Macao,2010,0.007,98184.3365009534,538000.0
Madagascar,2010,0.013,1385.68507168039,21152000.0
Malaysia,2010,0.112,21107.2679372523,28208000.0
Maldives,2010,0.22,12005.5046183167,366000.0
Malta,2010,0.018,28364.7993209208,414000.0
Marshall Islands,2010,0.15,3479.15530340683,56000.0
Mauritania,2010,0.038,3316.97478042489,3494000.0
Mauritius,2010,0.122,15938.4192089782,1248000.0
Mexico,2010,0.012,15715.9721449501,114093000.0
Micronesia (country),2010,0.085,3297.65693360804,103000.0
Montenegro,2010,0.046,14034.5845640087,624000.0
Morocco,2010,0.049,6443.25361319481,32343000.0
Mozambique,2010,0.013,917.763832040531,23532000.0
Myanmar,2010,0.066,3721.21144009279,50601000.0
Namibia,2010,0.097,8460.84736812378,2119000.0
Nauru,2010,0.099,6592.43683574598,10000.0
Netherlands,2010,0.008,45524.6621425733,16683000.0
New Zealand,2010,0.007,32119.2155430773,4370000.0
Nicaragua,2010,0.066,4028.71208738128,5824000.0
Nigeria,2010,0.085,5150.15881822763,158503008.0
Norway,2010,0.006,62350.4107068751,4886000.0
Oman,2010,0.005,45335.8525168436,3041000.0
Pakistan,2010,0.09,4283.60731163635,179424992.0
Palau,2010,0.084,11846.5739334318,18000.0
Palestine,2010,0.005,4172.74568921544,4056000.0
Panama,2010,0.029,15628.5922438738,3643000.0
Papua New Guinea,2010,0.09,3191.58041028301,7311000.0
Peru,2010,0.039,9956.55663668307,29028000.0
Philippines,2010,0.062,5596.83728794962,93967000.0
Poland,2010,0.013,21770.6444359772,38330000.0
Portugal,2010,0.005,27238.4606724422,10596000.0
Puerto Rico,2010,0.011,33924.0540101397,3580000.0
Qatar,2010,0.003,125140.838348001,1856000.0
Romania,2010,0.011,17553.2832966444,20472000.0
Russia,2010,0.02,23107.7852212759,143479008.0
Saint Kitts and Nevis,2010,0.054,21412.201453108,49000.0
Saint Lucia,2010,0.113,12123.8351390475,174000.0
Saint Vincent and the Grenadines,2010,0.051,9915.57761891195,108000.0
Samoa,2010,0.084,5399.89309631838,186000.0
Sao Tome and Principe,2010,0.085,2641.51394847294,180000.0
Saudi Arabia,2010,0.016,45421.2284797446,27421000.0
Senegal,2010,0.086,2183.99505141766,12678000.0
Seychelles,2010,0.139,20365.1189331513,91000.0
Sierra Leone,2010,0.035,1199.98985027502,6416000.0
Singapore,2010,0.004,72115.8395014504,5131000.0
Slovenia,2010,0.005,28678.3726303687,2043000.0
Solomon Islands,2010,0.09,1871.36935209356,528000.0
South Africa,2010,0.134,11887.8050343927,51217000.0
South Korea,2010,0.001,30352.1048190303,49546000.0
Spain,2010,0.006,32507.0939660629,46931000.0
Sri Lanka,2010,0.299,8529.57144219453,20262000.0
Sudan,2010,0.083,3366.09626107549,34545000.0
Suriname,2010,0.027,14211.8775163255,529000.0
Sweden,2010,0.001,42942.5625032962,9390000.0
Tanzania,2010,0.02,2090.58322467574,44347000.0
Thailand,2010,0.108,13486.5624149548,67195000.0
Togo,2010,0.049,1208.2812098328,6422000.0
Tonga,2010,0.176,4984.19362951029,104000.0
Trinidad and Tobago,2010,0.19,31260.9070471763,1328000.0
Tunisia,2010,0.088,10436.3655998628,10635000.0
Turkey,2010,0.039,17959.2591065745,72327000.0
Tuvalu,2010,0.108,2986.44985588888,11000.0
Ukraine,2010,0.052,7824.49845171438,45792000.0
United Arab Emirates,2010,0.004,57232.6180757649,8550000.0
United Kingdom,2010,0.004,36366.9831782522,63460000.0
United States,2010,0.007,49374.1788851797,309011008.0
Uruguay,2010,0.024,17082.4046586765,3359000.0
Vanuatu,2010,0.245,2948.03293729183,236000.0
Venezuela,2010,0.017,16544.9720552598,28440000.0
Vietnam,2010,0.09,4408.16861192198,87968000.0
Yemen,2010,0.077,4478.7435991429,23155000.0
